,batch_size,num_layers,num_cells,epoch,context_length,mean_mse,mean_time
56,64.0,3.0,40.0,10.0,36.0,7.217277131191169,80.05793057142857
57,64.0,3.0,40.0,10.0,50.0,6.38740543968018,91.99442176190476
58,64.0,3.0,40.0,10.0,100.0,7.232462091427832,126.31998542857143
59,64.0,3.0,40.0,10.0,200.0,7.874878513932641,199.46414457142856
60,64.0,3.0,40.0,20.0,36.0,8.316311682886617,146.71232604761906
61,64.0,3.0,40.0,20.0,50.0,8.32026537819028,168.08462157142858
62,64.0,3.0,40.0,20.0,100.0,8.293975877835686,249.23700723809523
63,64.0,3.0,40.0,20.0,200.0,8.692731390626022,423.46276280952384
64,128.0,2.0,20.0,10.0,36.0,6.227538581208915,69.28510519047619
65,128.0,2.0,20.0,10.0,50.0,6.435858641833665,77.46655342857143
66,128.0,2.0,20.0,10.0,100.0,6.756173705694969,104.26932280952381
67,128.0,2.0,20.0,10.0,200.0,8.067651420030325,161.0425652857143
68,128.0,2.0,20.0,20.0,36.0,7.364482086651228,144.3375870952381
69,128.0,2.0,20.0,20.0,50.0,9.22866202547407,159.453726
70,128.0,2.0,20.0,20.0,100.0,7.265879034914871,215.87895904761905
71,128.0,2.0,20.0,20.0,200.0,10.54731705541918,318.98262309523807
72,128.0,2.0,40.0,10.0,36.0,6.997184118938363,92.79292666666667
73,128.0,2.0,40.0,10.0,50.0,6.324474759467173,105.19523866666667
74,128.0,2.0,40.0,10.0,100.0,6.87885792249459,150.99347842857142
75,128.0,2.0,40.0,10.0,200.0,6.678986425748143,237.0926011904762
76,128.0,2.0,40.0,20.0,36.0,8.717044823505708,193.55720804761904
77,128.0,2.0,40.0,20.0,50.0,7.984374508603467,223.48798495238094
78,128.0,2.0,40.0,20.0,100.0,8.204523240318736,306.46506971428573
79,128.0,2.0,40.0,20.0,200.0,8.458769768603867,495.46204376190474
